step,R,r,sigma,H_gas,mnemonic_drift,coh,mood,empathy,omega_cum,joy,calm,awe,stress,gamma,rho
133,0.999634,0.005483,0.913525,3.4639,0.141519,0.174143,0.7633,0.77543,1.339851,1.0,0.9076,0.115,0.7911,1.0,0.98193
134,0.999605,0.000291,0.914542,3.4642,0.141531,0.154785,0.7563,0.77512,1.349847,1.0,0.9087,0.098,0.7993,1.0,0.98208
135,0.999598,0.002609,0.915546,3.4642,0.14153,0.148565,0.7505,0.7744,1.359843,1.0,0.9098,0.0853,0.8072,1.0,0.98092
136,0.999265,0.003552,0.916538,3.464,0.141523,0.161953,0.7463,0.77349,1.369836,1.0,0.9109,0.0752,0.8119,1.0,0.98122
137,0.999721,0.004324,0.917517,3.4642,0.141532,0.203842,0.7449,0.77245,1.379833,1.0,0.9119,0.0671,0.8096,1.0,0.98163
138,0.998347,0.002384,0.918484,3.4638,0.141515,0.295158,0.7474,0.77141,1.389817,1.0,0.9131,0.0589,0.794,1.0,0.98091
139,0.999696,0.003578,0.91944,3.4637,0.141509,0.429529,0.7559,0.77067,1.399814,1.0,0.9141,0.0527,0.7605,1.0,0.96765
140,0.999648,0.005392,0.920383,3.464,0.141521,0.441434,0.7639,0.77022,1.40981,1.0,0.9151,0.0489,0.7303,1.0,0.97433
141,0.99896,0.005337,0.921314,3.4643,0.141534,0.302904,0.7647,0.77026,1.4198,1.0,0.9162,0.0455,0.7254,1.0,0.98387
142,0.999001,0.000622,0.922234,3.464,0.141521,0.198632,0.7598,0.77096,1.42979,1.0,0.9172,0.0392,0.7369,1.0,0.98217
143,0.998313,0.002893,0.923143,3.4638,0.141514,0.149222,0.7539,0.77186,1.439773,1.0,0.9183,0.0355,0.7542,1.0,0.98178
144,0.999332,0.006428,0.92404,3.4639,0.141518,0.131057,0.7489,0.77302,1.449766,1.0,0.9193,0.035,0.7715,1.0,0.98196
145,0.998776,0.00648,0.924927,3.4641,0.141525,0.134199,0.7447,0.77372,1.459754,1.0,0.9203,0.0346,0.7858,1.0,0.98147
146,0.999277,0.007639,0.925802,3.4643,0.141534,0.15637,0.7425,0.77438,1.469747,1.0,0.9212,0.0351,0.7945,1.0,0.98072
147,0.998151,0.020133,0.926667,3.4642,0.14153,0.201764,0.7456,0.77491,1.479728,1.0,0.9223,0.045,0.7953,1.0,0.98169
148,0.999324,0.050595,0.927521,3.4643,0.141536,0.257704,0.7575,0.77534,1.489721,1.0,0.9232,0.0762,0.7874,1.0,0.97901
149,0.999301,0.062658,0.928364,3.4644,0.141536,0.286855,0.7712,0.7757,1.499714,1.0,0.9241,0.1118,0.7764,1.0,0.98402
